Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Season,Last5HomeOver2.5Perc,Last5AwayOver2.5Count,AST,Last5AwayOver2.5Perc,HST,Last5HomeOver2.5Count,HomeOver2.5Perc,AwayOver2.5Perc,AvgLast5HomeGoalsScored,AvgLast5AwayGoalsScored,AvgLast5AwayGoalsConceded,B365C>2.5,AvgLast5HomeGoalsConceded,PC<2.5,B365CAHH,Over2.5
2026-02-07,D1,14:30,Heidenheim,Hamburg,A,A,2025/2026,0.7339811686308902,-0.5070123128922955,0.33197489725759416,-0.7793498077151204,-0.48187786738278787,1.075694686504527,1.3396889842335549,-0.05926831580874556,-1.077683402093154,-0.767491694207326,-0.4625856795377004,0.824866249611897,1.3695919834415013,0.0,-2.5051956711859407,0
2026-02-07,D1,14:30,Freiburg,Werder Bremen,H,H,2025/2026,-0.01881141667886937,-0.5070123128922955,0.33197489725759416,-0.7793498077151204,-1.2093234245137303,0.2836356122621596,0.8750893225703857,-0.05926831580874556,0.26816031064099993,-1.272894489202696,-0.20576553638299017,1.20622171206592,-1.1143502609243587,0.0,-1.4588252574892202,0
2026-02-07,D1,14:30,Mainz,Augsburg,H,H,2025/2026,-0.771604001988629,0.28367285982282925,0.7481281479759722,-0.01750774922457059,0.24556768974815466,-0.5084234619802076,-1.912508647408627,0.4496217061353087,-0.4047615457260772,-1.272894489202696,0.5646948930811398,0.5197818796486795,-1.1143502609243587,0.0,-0.09854371968348614,0
2026-02-08,D1,14:30,FC Koln,RB Leipzig,A,A,2025/2026,-0.01881141667886937,0.28367285982282925,-0.08417835346078376,-0.01750774922457059,-0.8456006459482591,0.2836356122621596,0.8750893225703857,-0.05926831580874556,-0.8533761166374618,-0.009387501714271322,-0.9762259658471202,-0.8530977851858026,-0.01037593009508766,0.0,-1.1449141333802042,1
2026-02-08,D1,16:30,Bayern Munich,Hoffenheim,H,H,2025/2026,1.4867737539406498,-0.5070123128922955,-0.08417835346078376,-0.7793498077151204,3.1553499182719245,1.8677537607468941,2.733487969223061,0.4496217061353087,2.2869258797422307,-0.2620888992119562,-0.20576553638299017,-1.6920798025846524,-0.01037593009508766,0.0,-1.6680993402285642,1
2026-02-13,D1,19:30,Dortmund,Mainz,H,H,2025/2026,0.7339811686308902,1.8650432052530788,0.33197489725759416,1.5061763677565292,0.9730132468790972,1.075694686504527,-0.5187096624191202,0.4496217061353087,1.3896967379194616,-0.009387501714271322,0.5646948930811398,-0.35733568399557264,-0.8383566782170409,0.0,-1.4588252574892202,1
2026-02-14,D1,14:30,Werder Bremen,Bayern Munich,A,A,2025/2026,-0.01881141667886937,1.8650432052530788,1.580434649412728,1.5061763677565292,-0.8456006459482591,0.2836356122621596,-0.5187096624191202,2.4851817939115293,-1.077683402093154,2.5176264732625784,-1.23304610900183,-1.386995432621434,1.6455855661488195,0.0,-1.1449141333802042,1
2026-02-14,D1,14:30,Ein Frankfurt,M'gladbach,H,H,2025/2026,0.7339811686308902,-0.5070123128922955,-0.5003316041791617,-0.7793498077151204,1.3367360254445684,1.075694686504527,-0.054110000755951564,-0.5681583377528003,0.04385302518530762,-1.272894489202696,0.5646948930811398,0.024019778458449548,0.5416112353195481,0.0,-0.09854371968348614,1
2026-02-14,D1,14:30,Hamburg,Union Berlin,H,H,2025/2026,-0.01881141667886937,-0.5070123128922955,0.33197489725759416,-0.7793498077151204,-0.48187786738278787,0.2836356122621596,-0.9833093240822893,-1.0770483596968556,0.04385302518530762,-0.2620888992119562,-0.20576553638299017,2.0452037294647707,-0.01037593009508766,0.0,0.42464148716487404,1
2026-02-14,D1,14:30,Hoffenheim,Freiburg,H,D,2025/2026,0.7339811686308902,0.28367285982282925,-0.5003316041791617,-0.01750774922457059,0.6092904683136259,1.075694686504527,0.8750893225703857,-0.5681583377528003,1.6140040233751543,-0.2620888992119562,0.5646948930811398,0.25283305593086336,-1.1143502609243587,0.0,0.42464148716487404,1
2026-02-14,D1,14:30,Leverkusen,St Pauli,H,H,2025/2026,-0.01881141667886937,1.074358032537954,-1.3326381056159176,0.7443343092659793,0.6092904683136259,0.2836356122621596,-0.5187096624191202,-1.5859383816409105,0.04385302518530762,-0.767491694207326,0.5646948930811398,0.939272888348104,-0.2863695128024054,0.0,-0.6217289265318463,1
2026-02-14,D1,17:30,Stuttgart,FC Koln,H,H,2025/2026,-0.771604001988629,0.28367285982282925,-0.5003316041791617,-0.01750774922457059,-0.48187786738278787,-0.5084234619802076,-0.9833093240822893,-1.0770483596968556,-0.18045426027038466,-0.5147902967096412,0.30787474992642966,-0.8530977851858026,-0.8383566782170409,0.0,-1.4588252574892202,1
2026-02-15,D1,16:30,RB Leipzig,Wolfsburg,D,D,2025/2026,0.7339811686308902,1.074358032537954,-0.5003316041791617,0.7443343092659793,1.7004588040100397,1.075694686504527,0.8750893225703857,0.4496217061353087,-0.4047615457260772,-0.009387501714271322,1.5919754656999796,-1.1581821551490201,1.3695919834415013,0.0,-1.6680993402285642,1
2026-02-15,D1,14:30,Augsburg,Heidenheim,H,D,2025/2026,-0.771604001988629,0.28367285982282925,-0.9164848548975396,-0.01750774922457059,-0.48187786738278787,-0.5084234619802076,-0.5187096624191202,-0.05926831580874556,-0.6290688311817695,-0.5147902967096412,0.051054606771719746,0.024019778458449548,-0.8383566782170409,0.0,-0.41245484379250225,0
